disease_name,associated_disease
肺泡蛋白质沉积症,多重肺部感染
百日咳,肺不张
苯中毒,贫血
喘息样支气管炎,支气管哮喘
成人呼吸窘迫综合征,细菌性肺炎
大量羊水吸入,呼吸衰竭
单纯性肺嗜酸粒细胞浸润症,胆道蛔虫病
大叶性肺炎,脓胸
大楼病综合征,抑郁症
二硫化碳中毒,昏迷
肺-胸膜阿米巴病,阿米巴肝脓肿
肺出血－肾炎综合征,便血
肺放线菌病,膈下脓肿
肺泡蛋白沉着症,呼吸衰竭
肺曲菌病,过敏性鼻炎
放射性肺炎,肺气肿
肺念珠菌病,菌血症
肺大疱,张力性气胸
肺炎球菌肺炎,败血症
肺气肿,呼吸衰竭
肺气肿, 自发性气胸
肺气肿, 慢性肺源性心脏病
肺气肿, 胃溃疡
肺炎杆菌肺炎,脑疝
肺脓肿,气胸
肺栓塞,心源性休克
肺炎,支气管肺炎
肺大泡,自发性气胸
肺水肿,弥散性血管内凝血
非典,败血症
非典, 消化道出血
非典, 弥散性血管内凝血
肺转移瘤,心律失常
肺炎性假瘤,咯血
肺隐球菌病,脑膜炎
肺癌,肺不张
肺癌, 肺炎
肺癌, 血胸
肺癌, 脓胸
肺癌, 心律失常
肺癌, 心力衰竭
肺癌, 呼吸衰竭
镉中毒,水肿
感冒,支气管炎
感染性休克,急性呼吸窘迫综合征
感染性休克, 脑水肿
感染性休克, 弥漫性血管内凝血
过敏性休克,水肿
Goodpasture综合征,便血
过敏性肺炎,蜂窝肺综合征
汞中毒,肾功能衰竭
呼吸道异物,肺脓肿
呼吸性细支气管相关的间质性肺疾病,气胸
呼吸衰竭,休克
呼吸道合胞病毒肺炎,喉炎
减压病,血管瘤
减压病, 急性出血性坏死性肠炎
减压病, 结肠闭锁
减压病, 十二指肠先天性缺如、闭锁和狭窄
减压病, 十二指肠血管性压迫综合征
急性呼吸衰竭,肺水肿
急性肺脓肿,肺脓肿
军团病,肺炎
军团病, 呼吸衰竭
军团病, 休克
军团病, 脑水肿
军团病, 胰腺炎
军团病, 胰腺炎
军团病, 腹膜炎
急性呼吸窘迫综合征,气胸
军团菌病,心肌炎
军团菌病, 呼吸衰竭
军团菌病, 肾功能衰竭
结核性脓胸,慢性脓胸
金黄色葡萄球菌肺炎,成人呼吸窘迫综合征
金黄色葡萄球菌肺炎, 脓毒性休克
金黄色葡萄球菌肺炎, 脓胸
金黄色葡萄球菌肺炎, 心内膜炎
咖啡因与氨茶碱中毒,休克
卡氏肺囊虫肺炎,自发性气胸
卡氏肺囊虫肺炎, 急性呼吸窘迫综合征
咯血,休克
硫化氢中毒,头痛
硫化氢中毒, 共济失调
硫化氢中毒, 意识障碍
硫化氢中毒, 谵妄
硫化氢中毒, 昏迷
硫化氢中毒, 肺水肿
硫化氢中毒, 肺炎
硫化氢中毒, 急性呼吸窘迫综合征
硫化氢中毒, 心绞痛
老年肺炎,心力衰竭
老年肺炎, 呼吸衰竭
老年肺炎, 应激性溃疡
老年肺炎, 糖尿病
老年肺炎, 高血压
流行性感冒,鼻窦炎
流行性感冒, 扁桃体炎
流行性感冒, 细菌性肺炎
流行性感冒, 中毒性休克综合征
流行性感冒, 昏迷
流行性感冒, 肝大
流行性感冒, 心律失常
免疫缺陷者肺炎,细菌性肺炎
免疫缺陷者肺炎, 病毒性肺炎
免疫缺陷者肺炎, 放射性肺炎
免疫缺陷者肺炎, 支原体肺炎
镍中毒,咳嗽
铍中毒,肺水肿
缺血缺氧性脑病,癫痫
气胸,血气胸
球孢子菌病,胸腔积液
禽流感,心肌炎
迁延性肺嗜酸粒细胞浸润症,肝炎
气管肿瘤,气管食管瘘
气管先天性疾病,气胸
气管、支气管狭窄,气管食管瘘
乳酸性酸中毒,昏迷
热带性肺嗜酸粒细胞浸润症,水肿
热带性肺嗜酸粒细胞浸润症, 心肌炎
手术后和创伤后肺炎,脓胸
鼾症,心律失常
特发性肺纤维化,肺心病
脱屑性间质性肺炎,气胸
特发性阻塞性细支气管炎伴机化性肺炎,过敏性肺炎
特发性含铁血黄素沉着症,缺铁性贫血
外源性过敏性肺泡炎,肺心病
小儿结核病,心脏病
新生儿呼吸窘迫综合征,肺气肿
吸入性损伤,败血症
小儿金黄色葡萄球菌肺炎,败血症
小儿急性支气管炎,中耳炎
小儿流行性感冒,中耳炎
小儿急性喉炎,呼吸道感染
矽肺,慢性阻塞性肺疾病
矽肺, 慢性肺源性心脏病
矽肺, 肺气肿
矽肺, 自发性气胸
矽肺, 咯血
新生儿窒息,气胸
小儿支原体肺炎,急性心力衰竭
新生儿肺不张,肺脓肿
小儿感冒,喉炎
小儿感冒, 中耳炎
哮喘,气胸
小儿哮喘,呼吸衰竭
小儿肺炎,昏迷
小儿肺炎, 呼吸衰竭
小儿肺炎, 小儿肺不张
小儿肺炎, 肺气肿
小儿肺炎, 小儿支气管扩张
新生儿呼吸暂停,脑病
先天性肺囊肿,气胸
休克型肺炎,脑水肿
吸入性肺炎,肺不张
吸入性肺炎, 肺水肿
吸入性肺炎, 急性呼吸窘迫综合征
吸入性肺炎, 癫痫
吸入性肺炎, 呼吸衰竭
腺病毒肺炎,心肌炎
哮喘性肺嗜酸粒细胞浸润症,大叶性肺炎
细菌性肺炎,脑膜炎
新生儿湿肺,新生儿窒息
胸壁结核,气胸
乙醚中毒,血尿
淹溺,成人呼吸窘迫综合征
淹溺, 心律失常
淹溺, 肺水肿
淹溺, 心力衰竭
淹溺, 溶血性贫血
淹溺, 急性肾功能衰竭
淹溺, 弥散性血管内凝血
衣原体肺炎,甲状腺炎
羊水与胎粪吸入综合征,气胸
羊水与胎粪吸入综合征, 颅内出血
一氧化碳中毒,脑水肿
阻塞性肺气肿,阻塞性肺气肿
阻塞性肺气肿, 呼吸衰竭
阻塞性肺气肿, 慢性肺源性心脏病
阻塞性肺气肿, 胃溃疡
支原体肺炎,心肌炎
支气管扩张,肺炎
支气管扩张, 肺脓肿
支气管扩张, 脓胸
支气管扩张, 肺动脉高压
支气管扩张, 慢性肺源性心脏病
支气管肺炎,肺气肿
支气管肺炎, 肺不张
支气管肺炎, 支气管扩张
支气管肺炎, 肺脓肿
支气管肺炎, 心包炎
支气管肺炎, 呼吸衰竭
支气管肺炎, 酸中毒
变应性血管炎,便血
病毒性心肌炎,扩张型心肌病
病态窦房结综合征,休克
川崎病,心肌炎
穿透性心脏外伤,腹水
窦性停搏,阿-斯综合征
单心房,脑栓塞
单纯性下肢静脉曲张,血栓性静脉炎
动脉硬化,心律失常
动脉导管未闭,乳糜胸
窦性心动过速,心力衰竭
动脉瘤,颅内动脉瘤
二尖瓣关闭不全,心力衰竭
二尖瓣关闭不全, 感染性心内膜炎
二尖瓣关闭不全, 心房颤动
二尖瓣关闭不全, 动脉栓塞
二尖瓣狭窄,急性肺水肿
二尖瓣脱垂综合征,充血性心力衰竭
二尖瓣环钙化,急性肺水肿
肺性脑病,腹泻
风湿性二尖瓣狭窄,急性心力衰竭
风湿性二尖瓣关闭不全,急性心力衰竭
肥厚型梗阻性心肌病,猝死
房室管畸形,三尖瓣关闭不全
法洛四联症,脑脓肿
风湿热,冠心病
肥厚型心肌病,心房颤动
房室传导阻滞,心律失常
肺动静脉瘘,血胸
高血压危象,高血压脑病
高血压危象, 急性心力衰竭
高血压危象, 急性肾功能衰竭
高血压,中风
冠状动脉终止异常,充血性心力衰竭
冠状动脉终止异常, 急性肺水肿
冠状动脉终止异常, 肺脓肿
冠状动脉终止异常, 脑脓肿
冠状动脉终止异常, 心包积液
冠状动脉终止异常, 心律失常
冠状动脉异位起源,心力衰竭
感染性心内膜炎,心律失常
冠心病,猝死
冠心病, 二尖瓣关闭不全
后天性三尖瓣关闭不全,肺栓塞
后天性动静脉瘘,肿胀
间歇性眼球突出症,暴露性角膜炎
急性心肌梗死,心律失常
急性心肌梗死, 心力衰竭
急性心肌梗死, 心源性休克
急性心肌梗死, 老年人乳头肌功能不全和断裂
酒精性心肌病,心律失常
酒精性心肌病, 充血性心力衰竭
酒精性心肌病, 酒精性肝硬化
酒精性心肌病, 营养不良
急性心功能不全,心房颤动
急性心功能不全, 心脏骤停与心肺脑复苏
急性感染性心内膜炎,肾动脉栓塞
急性心包炎,心源性肝硬化
急性心力衰竭,呼吸道感染
急性心力衰竭, 血栓形成
急性心力衰竭, 肺栓塞
急性心力衰竭, 肝硬化
急性心力衰竭, 电解质紊乱
甲亢,甲亢性心脏病
扩张型心肌病,猝死
扩张型心肌病, 心力衰竭
扩张型心肌病, 胸腔积液
扩张型心肌病, 腹水
扩张型心肌病, 心律失常
扩张型心肌病, 心房颤动
克山病,心律失常
克山病, 低钾血症
克山病, 心源性休克
克山病, 充血性心力衰竭
雷诺病,败血症
慢性肺源性心脏病,心力衰竭
慢性肺源性心脏病, 多重肺部感染
慢性肺源性心脏病, 呼吸衰竭
慢性肺源性心脏病, 肺性脑病
慢性肺源性心脏病, 心律失常
慢性肺源性心脏病, 休克
慢性肺源性心脏病, 弥漫性血管内凝血
慢性肺源性心脏病, 上消化道出血
慢性肺源性心脏病, 多器官功能障碍综合征
缺血性心肌病,休克
四肢血栓性浅静脉炎,静脉血栓形成
三尖瓣下移畸形,三尖瓣关闭不全
三尖瓣狭窄,肺栓塞和肺梗死
三尖瓣关闭不全,腹水
三尖瓣闭锁,心律失常
三房心,肺动脉高压
颈动脉体瘤,淋巴瘤
完全性肺静脉异位回流,营养不良
完全性大动脉错位,脑出血
完全性大动脉错位, 脑栓塞
完全性大动脉错位, 心力衰竭
完全性大动脉错位, 呼吸衰竭
完全性大动脉错位, 房室传导阻滞
休克,心力衰竭
休克, 急性肾功能衰竭
新生儿缺氧缺血性脑病,脑积水
新生儿硬肿症,急性肾功能衰竭
新生儿硬肿症, 低血糖
新生儿硬肿症, 代谢性酸中毒
新生儿硬肿症, 小儿肺出血-肾炎综合征
血管瘤,充血性心力衰竭
先天性风疹,心肌炎
先天性风疹, 胰腺炎
先天性风疹, 肝炎
先天性风疹, 消化道出血
先天性风疹, 血小板减少性紫癜
先天性风疹, 贫血
先天性风疹, 肾病综合征
胸降主动脉动脉瘤,咯血
胸主动脉夹层动脉瘤,昏迷
心脏神经官能症,抑郁症
心内膜弹性纤维增生症,肺炎
心绞痛,心力衰竭
心肌梗塞并发心室间隔穿破,咯血
心肌梗塞并发二尖瓣关闭不全,败血症
心肌梗死,心律失常
心肌梗死, 休克
心肌梗死, 心力衰竭
心肌梗死, 二尖瓣关闭不全
心肌梗死, 心包炎
心肌梗死, 胸膜炎
心肌梗死, 肺炎
心功能障碍,心源性休克
心功能障碍, 急性心肌梗死
心功能障碍, 急性心包炎
心功能障碍, 心肌病
心包囊肿,粘连性肠梗阻
小儿高血压,心绞痛
小儿充血性心力衰竭,早搏
心肌梗塞并发左心室室壁瘤,肺栓塞
先天性主动脉缩窄,动脉导管未闭
先天性主动脉弓畸形,肺动脉高压
先天性主动脉弓畸形, 慢性心功能不全
先天性主动脉瓣下狭窄,猝死
先天性主动脉瓣上狭窄,心室间隔缺损
先天性动脉导管未闭,乳糜胸
先天性动静脉瘘,肺栓塞
先天性二尖瓣畸形,房室管畸形
先天性二尖瓣畸形, 单心室
先天性二尖瓣畸形, 心室间隔缺损
心包积液,心力衰竭
心肌病,感染性心内膜炎
心肌病, 猝死
心肌病, 心律失常
心肌病, 充血性心力衰竭
心律失常,脑栓塞
限制型心肌病,动脉栓塞
心房扑动与心房颤动,脑栓塞
心室内传导阻滞,完全性房室传导阻滞
