disease_name,cure_method,cure_department,cure_probability
肺泡蛋白质沉积症,['支气管肺泡灌洗'],"['内科', '呼吸内科']",约40%
百日咳,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",98%
苯中毒,"['药物治疗', '支持性治疗']",['急诊科'],75%
喘息样支气管炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%
成人呼吸窘迫综合征,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",85%
大量羊水吸入,"['对症治疗', '药物治疗', '支持性治疗']","['儿科', '小儿内科']",85%
单纯性肺嗜酸粒细胞浸润症,['药物治疗'],"['内科', '呼吸内科']",100%
大叶性肺炎,"['青霉素等抗生素药物治疗', '对症支持性治疗', '并发症治疗']","['内科', '呼吸内科']",90%以上
大楼病综合征,"['支持性治疗', '康复治疗']","['其他科室', '其他综合']",90%
二硫化碳中毒,"['药物治疗', '支持性治疗']",['急诊科'],80-85%
肺-胸膜阿米巴病,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '呼吸内科']",80%
肺出血－肾炎综合征,"['药物治疗', '康复治疗', '支持治疗']","['内科', '呼吸内科']",70%
肺放线菌病,['大剂量青霉素治疗、手术治疗'],"['内科', '呼吸内科']",96%
肺泡蛋白沉着症,"['药物治疗', '支持性治疗，对症治疗']","['内科', '呼吸内科']",1-3%
肺曲菌病,"['抗曲霉菌药物治疗', '对症支持治疗', '部分慢性感染如曲霉球需要手术切除治疗']","['内科', '呼吸内科']",70-80%
放射性肺炎,['药物对症治疗为主，早期可能需要激素治疗'],"['内科', '呼吸内科']",70%
肺念珠菌病,"['抗真菌治疗，对症治疗，', '支持性治疗']","['内科', '呼吸内科']",80%
肺大疱,"['康复治疗', '手术治疗']","['内科', '呼吸内科']",85%
肺炎球菌肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",80%
肺气肿,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '呼吸内科']",0.5%
肺炎杆菌肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",68%
肺脓肿,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '呼吸内科']",70%
肺栓塞,"['药物治疗', '支持性治疗', '外科治疗']","['内科', '呼吸内科']",60%
肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%
肺大泡,"['康复治疗', '支持性治疗', '手术治疗']","['内科', '呼吸内科']",85%
肺水肿,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",75%治愈率
非典,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",40%
肺转移瘤,"['手术治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",20%
