disease_name,check_method
肺泡蛋白质沉积症,"['胸部CT检查', '肺活检', '支气管镜检查']"
百日咳,"['耳、鼻、咽拭子细菌培养', '周围血白细胞计数及分类检验', '血常规', '酶联免疫吸附试验', '白细胞分类计数']"
苯中毒,"['血常规', '骨髓象分析', '先令氏指数']"
喘息样支气管炎,"['肺部检查', '肺和胸膜听诊', '抗链球菌型M蛋白抗体', '抗链球菌壁多糖抗体', '酶联免疫吸附试验']"
成人呼吸窘迫综合征,"['胸部CT检查', '呼吸肌功能测定', '血浆蛋白C抗原', '肺泡气-动脉血氧分压差', '肺毛细血管楔压']"
大量羊水吸入,"['肺部检查', '胸部透视', '胸部平片', '胸部CT检查']"
单纯性肺嗜酸粒细胞浸润症,"['痰液中细胞分类', '胸部平片', '痰液中寄生虫和虫卵']"
大叶性肺炎,"['Optochin敏感试验', '小白鼠毒力试验', '痰培养', '肺活量体重指数', '胸部平片', '免疫电泳', '血常规', '痰液细菌涂片检查']"
大楼病综合征,"['钼靶X线检查', 'CT检查', '血常规']"
二硫化碳中毒,"['血常规', '尿常规', '肾功能检查', '神经系统检查', '眼底荧光血管造影', '肌电图', '脑电图检查', '心肺功能运动试验（CPET）']"
肺-胸膜阿米巴病,"['胸部平片', '痰液病原体检查']"
肺出血－肾炎综合征,"['痰液常规检查', '尿液镜检法', '胸部平片', '肾功能检查', '抗肾小球基底膜抗体测定（AGBM）', '隐血试验与含铁血黄素检查']"
肺放线菌病,"['痰液病原体检查', '胸部平片']"
肺泡蛋白沉着症,"['胸部CT检查', '支气管镜检查', '肺活检']"
肺曲菌病,"['胸部平片', '痰培养', '纤维支气管镜检查', '胸部CT检查', '痰液细菌涂片检查']"
放射性肺炎,"['胸部平片', '肺功能检查', '通气与血流灌注比值（V/Q）', '每分钟最大通气量（MVV）', '血常规']"
肺念珠菌病,"['肺量计检测', '胸部平片', '痰液细菌涂片检查']"
肺大疱,"['胸部CT检查', '支气管造影', '胸部平片']"
肺炎球菌肺炎,"['胸部平片', '血常规']"
肺气肿,"['肺量计检测', '残气量／肺总量比值（RV/TLC）', '肺容量测定', '肺活量（VC）', '最大呼气流量-容积曲线（MEFV）', '深吸气量（IC）', '一秒用力呼出量／用力肺活量比值', '心电图', '无效腔气量／潮气量比值', '肺泡气-动脉血氧分压差']"
肺炎杆菌肺炎,"['痰液细菌涂片检查', '痰液细菌培养', '血常规']"
肺脓肿,"['血常规', '肺功能检查', '呼吸道粘液-纤毛清除功能测定', '剖胸术', '纤维支气管镜检查', '支气管造影', '痰液显微镜检查', '胸部CT检查']"
肺栓塞,"['心电图', '生理无效腔（Vd/Vt）', '通气与血流灌注比值（V/Q）', '肺灌注显像', '因子VIII/因子IX促凝活性', '血清纤维蛋白降解产物测定', '补呼气量', '潮气容量', '凝血因子活性测定', '凝血因子活性测定(因子Ⅷ∶C、Ⅸ∶C)']"
肺炎,"['痰液病原体检查', '尿常规', '痰液常规检查', '痰液细菌培养', '胸部平片', '胸部MRI', '纤维支气管镜检查', '胸部CT检查', '嗜中性杆状粒细胞数', '血常规']"
肺大泡,"['胸部平片', '胸部CT检查', '支气管造影', '呼吸道粘液-纤毛清除功能测定']"
肺水肿,"['胸部平片', '肺上皮细胞通透性（LEP）测定', '肺弥散功能测定（DL）', '肺量计检测']"
非典,"['白细胞分类计数', '胸部平片', '肺炎支原体寒冷凝集试验', '胸部CT检查', '补体结合试验']"
肺转移瘤,"['CT检查', '血常规', '痰液细胞学检查', '造影检查', '胸部MRI', '支气管镜检查', 'CT造影扫描']"
肺炎性假瘤,"['胸部平片', '痰液的一般性状检查', '肺部检查', '痰液显微镜检查', '痰液病原体检查', '胸部CT检查']"
肺隐球菌病,"['隐球菌病胶乳凝集试验', '痰液的一般性状检查', '胸部CT检查', '胸部平片', '痰液病原体检查']"
肺癌,"['胸部CT检查', '胸部平片', '糖链抗原242', '细胞角蛋白19片段抗原（CYFRA21-1）', '巴氏或H-E染色检查', '支气管镜检查', '血卟啉雾化吸入试验', '痰液细胞学检查', '肿瘤断层显象', '纵隔镜检查']"
镉中毒,"['尿镉', '胸部CT检查', '大生化检查', '血清镉（Cd）', '尿常规', '肾功能检查', '胸部平片']"
感冒,"['白细胞计数（WBC）', '血常规', '内科检查', '肺和胸膜听诊', '尿常规']"
感染性休克,"['心电图', '肾功能检查']"
过敏性休克,"['心电图', '游离肝素时间', '血常规', '血液生化六项检查', '肾功能检查', '双链酶皮内试验', '肝素-抗凝血酶Ⅳ复合物', '链霉素皮内试验', '中心静脉压测定（CVP）']"
Goodpasture综合征,"['肾功能检查', '痰液常规检查', '尿液镜检法', '隐血试验与含铁血黄素检查', '抗肾小球基底膜抗体测定（AGBM）']"
过敏性肺炎,"['肺功能检查', '胸部平片', '血氧饱和度', '激发试验', '痰液中分泌型IgE', '氧分压']"
汞中毒,"['肾功能检查', '尿汞', '血常规', '血清汞（Hg）', '大生化检查', '尿汞（Hg）', '全血汞']"
呼吸道异物,"['胸部CT检查', '支气管镜检查']"
呼吸性细支气管相关的间质性肺疾病,"['胸部MRI', '肺功能检查', '胸部CT检查', '胸部平片', '肺容积']"
