disease_name,nutrition_do_eat,nutrition_not_eat,nutrition_recommend_eat
肺泡蛋白质沉积症,,,
百日咳,"['南瓜子仁', '圆白菜', '樱桃番茄', '小白菜']","['螃蟹', '海蟹', '海虾', '海螺']","['清蒸鸡蛋羹', '百合双耳鸡蛋羹', '排骨汤', '罗汉果雪耳鸡汤', '小黄瓜凉拌面', '黄瓜三丝汤', '黄瓜拌兔丝', '黄瓜拌皮丝']"
苯中毒,"['鸡蛋', '大豆', '猪肉(瘦)', '樱桃番茄']","['海蟹', '海虾', '海参（水浸）', '辣椒(青、尖)']","['豆腐干炒韭菜', '素炒小白菜', '白菜蛋花粥']"
喘息样支气管炎,"['鸡蛋', '海蚌', '赤贝', '圆白菜']","['海蟹', '海虾', '海螺', '猪肉(肥瘦)']","['紫苏粥', '菊花芦根茶', '生芦根粥', '鲜芦根粥', '薏仁党参粥', '党参粥', '黄芪粥', '鸡蛋木耳粥']"
成人呼吸窘迫综合征,"['莲子', '生菜', '山药', '空心菜']","['啤酒', '白酒', '洋葱', '辣椒(红、尖、干)']","['百合糖粥', '百合粥', '百合花生汤', '首乌百合粥', '薏米莲子粥', '牛奶玉米汤', '萝卜豆腐汤', '瓜粒杂锦汤']"
大量羊水吸入,,,
单纯性肺嗜酸粒细胞浸润症,,,
大叶性肺炎,"['栗子（熟）', '鲫鱼', '猪肉(瘦)', '油菜']","['洋葱', '辣椒(青、尖)', '辣椒(红、尖、干)', '韭菜']","['奶汤锅子鱼', '酱豆腐汁烧猪肉', '百合汤', '山楂百合汤', '番茄鸡蛋煎饼', '凉拌番茄', '番茄猪肝瘦肉汤', '番茄牛肉']"
大楼病综合征,"['圆白菜', '小白菜', '生菜', '空心菜']","['洋葱', '辣椒(青、尖)', '辣椒(红、尖、干)', '韭菜']","['生姜乌梅饮', '乌梅粥', '山楂乌梅饮', '山楂红糖粥', '山楂桑椹粥']"
二硫化碳中毒,"['生菜', '南瓜', '苦瓜', '空心菜']","['啤酒', '白酒', '洋葱', '辣椒(红、尖、干)']","['小麦粥', '荞麦粥', '杂粮粥', '蔬菜杂烩粥', '花生杏仁粥', '豆薯小米粥', '羊腩萝卜丝粥', '绿豆南瓜汤']"
肺-胸膜阿米巴病,,,
肺出血－肾炎综合征,"['茄子', '空心菜', '茭白', '番茄']","['竹笋', '辣椒(青、尖)', '辣椒(红、尖、干)', '韭菜']","['肉末冬瓜', '肉松', '五丝白菜卷', '拌肚丝白菜', '冬菇烧白菜', '水萝卜丝拌白菜', '珊瑚白菜墩', '素炒小白菜']"
肺放线菌病,"['油菜', '生菜', '南瓜', '空心菜']","['啤酒', '白酒', '狗肉', '洋葱']","['番茄西米粥', '番茄牛肉片', '番茄羊肉汤', '番茄羊肉蛋花汤', '番茄皮蛋汤', '百合炒芦笋', '百合炖猪蹄', '鲜百合烧肉']"
肺泡蛋白沉着症,,,
肺曲菌病,"['鸡蛋', '鲤鱼', '鲫鱼', '油麦菜']","['啤酒', '白酒', '洋葱', '韭菜']","['银耳粥', '鸭梨粥', '雪梨饮', '川贝酿梨', '北杏炖雪梨', '红枣银耳粥', '冰糖银耳羹', '椰子银耳煲鸽汤']"
放射性肺炎,"['莲子', '豆浆', '生菜', '南瓜']","['白酒', '洋葱', '辣椒(红、尖、干)', '大蒜']","['杂粮粥', '蔬菜杂烩粥', '小麦粥', '虾皮香芹燕麦粥', '荞麦粥', '花生杏仁粥', '豆薯小米粥', '萝卜豆腐汤']"
